id	geom	mi	inom	nome_carta
1	0106000020EF7C0000010000000103000000010000000500000096FCB0A64EE70941BC3D66463F2A5B410AF1B727CCDD09410BC8CAB1C6375B41389DCEC76E650B4138D4DFDD09385B41E2D4EE1A876E0B41E4AC7EAD822A5B4196FCB0A64EE70941BC3D66463F2A5B41	\N	SG-23-V-C-IV-3-SE	\N
2	0106000020EF7C0000010000000103000000010000000500000032D61769414C0841F370D52408455B4146B9CF936B42084175A4BDB78F525B41E0BE6E0BE8CA094176475966D5525B41F45CAE9D54D40941E210C3114E455B4132D61769414C0841F370D52408455B41	\N	SG-23-V-C-IV-1-SO	\N
3	0106000020EF7C000001000000010300000001000000050000000AF1B727CCDD09410BC8CAB1C6375B41F45CAE9D54D40941E210C3114E455B41900C83EF605C0B417EFC800291455B41389DCEC76E650B4138D4DFDD09385B410AF1B727CCDD09410BC8CAB1C6375B41	\N	SG-23-V-C-IV-3-NE	\N
4	0106000020EF7C00000100000001030000000100000005000000F45CAE9D54D40941E210C3114E455B41E0BE6E0BE8CA094176475966D5525B41FA10C6945D530B41FE9E6C1B18535B41900C83EF605C0B417EFC800291455B41F45CAE9D54D40941E210C3114E455B41	\N	SG-23-V-C-IV-1-SE	\N
5	0106000020EF7C00000100000001030000000100000005000000900C83EF605C0B417EFC800291455B41FA10C6945D530B41FE9E6C1B18535B41DCF1087DCCDB0C416A5549D757535B418C1248AB66E40C4149EF60F7D0455B41900C83EF605C0B417EFC800291455B41	\N	SG-23-V-C-IV-2-SO	\N
6	0106000020EF7C000001000000010300000001000000050000004CD934CFE47C0E41426D9978002B5B414B311AB3A0740E415C53D33A87385B41D6AFAB9630FC0F417A654A6CC1385B41106B4B53050210410B7A34DD3A2B5B414CD934CFE47C0E41426D9978002B5B41	\N	SG-23-V-C-V-3-SO	\N
7	0106000020EF7C000001000000010300000001000000050000008C1248AB66E40C4149EF60F7D0455B41DCF1087DCCDB0C416A5549D757535B41CFAE681135640E41326E3D9A94535B41B1C3AD1D666C0E4126FDB0F00D465B418C1248AB66E40C4149EF60F7D0455B41	\N	SG-23-V-C-IV-2-SE	\N
8	0106000020EF7C000001000000010300000001000000050000004B311AB3A0740E415C53D33A87385B41B1C3AD1D666C0E4126FDB0F00D465B411DB162935FF40F411C93BBEE47465B41D6AFAB9630FC0F417A654A6CC1385B414B311AB3A0740E415C53D33A87385B41	\N	SG-23-V-C-V-3-NO	\N
9	0106000020EF7C00000100000001030000000100000005000000B1C3AD1D666C0E4126FDB0F00D465B41CFAE681135640E41326E3D9A94535B417CB6149F97EC0F41B8469364CE535B411DB162935FF40F411C93BBEE47465B41B1C3AD1D666C0E4126FDB0F00D465B41	\N	SG-23-V-C-V-1-SO	\N
10	0106000020EF7C000001000000010300000001000000050000001DB162935FF40F411C93BBEE47465B417CB6149F97EC0F41B8469364CE535B4170579D397ABA1041F996913605545B4172DE89AC29BE10411878C7F17E465B411DB162935FF40F411C93BBEE47465B41	\N	SG-23-V-C-V-1-SE	\N
11	0106000020EF7C00000100000001030000000100000005000000E0BE6E0BE8CA094176475966D5525B41A633D07386C10941EEA897AF5C605B41CA5C4EBA644A0B415843AD289F605B41FA10C6945D530B41FE9E6C1B18535B41E0BE6E0BE8CA094176475966D5525B41	\N	SG-23-V-C-IV-1-NE	\N
12	0106000020EF7C00000100000001030000000100000005000000C2033B4BE22E0841163295BC9E6D5B41AC19D3DD2E2508414C93982E267B5B41ECDCC13FE4AE0941822636206B7B5B41CA75A6D92FB80941518088EDE36D5B41C2033B4BE22E0841163295BC9E6D5B41	2845-3-NO	SG-23-V-C-I-3-NO	\N
13	0106000020EF7C00000100000001030000000100000005000000A633D07386C10941EEA897AF5C605B41CA75A6D92FB80941518088EDE36D5B41FA65CF6276410B41767F4D2A266E5B41CA5C4EBA644A0B415843AD289F605B41A633D07386C10941EEA897AF5C605B41	2845-3-SE	SG-23-V-C-I-3-SE	\N
